title	etime	content	vote	comment
낼 역학 쪽지시험 보는건가요??	방금	이번 주에 본다고 하셨던거 같은데 내일인지 수요일인지 모르겠어요	0	0
투자론 대박임	3분 전	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하...	0	4
😡길거리에서 담배 피면 무적권 벌금	4분 전	100,000원씩 물리면 안되나???간접흡연 너무 시러...ㅜㅜ 특히 아침에 집 나오자마자 담배연기 맡으면...😡	1	2
독문산	6분 전	듣는사람??	0	1
지금 사캠 과제 제출잘돼??	6분 전	나만 안돼?……🥹	0	0
배에 계속 가스차고 설사하면 장염임?	8분 전	ㅠㅠ	0	3
랜소	8분 전	성비안맞으면 동성끼리 매치될수도 있어?	0	2
와 긱사 룸메 그냥 실시간 레전드네	9분 전	친구도 없는지 주말내내 방에서 있는데 존나 시끄럽게 마우스 딸깍거리면서 롤하고 있네ㅋㅋㅋ 무슨 밖에 기온 한자리수로 떨어져도 창문에 방문까지 다	0	13
일반물리학 고수분들 모십니다.	9분 전	21번 문제에서 미소전기장 =k×람다 ds/r² 잖아요 그럼 이걸 적분할 때 벡터성분에서 x성분은 상쇄되고 y성분만 구하면 되는거죠? 근데 y성	0	6
대전역 긱사 택시탈사람	12분 전	있어? 나 줄서있음	0	4
얼굴로만	13분 전	아이유 정도면 충대 상위 몇 프로임?	0	3
시험기간에 꼭 봐야할 애니 top5	13분 전	1. 에반게리온 tva 2. 메이드 인 어비스 1,2 3. 소녀종말여행 4. 강철의 연금술사 오리지날 5. 카우보이 비밥  16학번이 강력추천	0	11
애플펜슬 쓰다가	13분 전	공책에 필기하는데 글씨 잘못쓰면 나도 모르게 펜 톡톡 두드리게되네	0	0
법학개론	15분 전	법학개론 낼 가야하는지 아시는 분	0	0
공부하기 싫어서 숨막혀 ㅠ	15분 전	하	0	2
ㅋㅋㅋ휴게소가면 아줌마들 걍들어오는데	15분 전	그건 왜 당연함? 공론화 매번해야됨?	0	0
도서관에서 공부하는 사람들	19분 전	도서관에서 연인을 만들려는 상상 한 번쯤 해보지 않음?	0	8
아쉬움	21분 전	시험까지 2일 남았고 공부하고 있는데 대면으로 강의들을때는 이해가 안갔는데  지금 보니깐 교수님이 말씀하신것도 떠오르고 이해가 가네요 개강할 때	0	3
택배 오배송	23분 전	택배 내 맞은편 건물로 잘못 배송했다고 기사님이 갖다준다거든..? 근데 그냥 내가 직접 가서 가져와도 되나?? 혹시나 신고할까봐 걱정돼서	0	1
ㄱㅈㅇ교수님 한국의역사 시험 언제야?	25분 전	김지영교수님 한국의역사 셤 언제야?	0	1
전자공 선배님들	26분 전	회로 1 버렸었고 2 지금 하는데 포기 일보 직전인데요... 전자공은 회로가 생명이죠...? 이번 겨울방학때 회로 다 준비해둬야 3학년 전자 회	0	2
김앤장vs태평양	26분 전	가슴이 웅장해진다... 근데 한바다는 왜 참전안함?	0	3
충대 다니면서 쪽팔린점	26분 전	제일 쪽팔렸던 일. 편입온 첫 해에 재학생 애들한테 학생회 들어갈 수 있냐고 물어본 거. 그 당시 학생회 애들 표정을 잊을수가 없다.. ㄹㅇ흑역	0	21
영어파트타임보조강사할만해?	29분 전	물류ㅈ같아서못해겟다 토익950  컴활잇으면가능한가	0	1
컴퓨터 검색기록 삭제하고픈데 어케함?	29분 전	구글은 아니고 그냥 쇼핑몰 사이튼데 검색창 클릭하면 전에 검색했던거 뜸	0	2
잘생기면 대체 뭐가 좋음?	30분 전	ㅡ	0	6
character table 이해가 안가네	31분 전	망했다 ㅍㅍ	0	0
주차자리	32분 전	맡았으니까 딴데가서 주차하라는게 뇌가 있으면 가능한 말과 행동인가...? 한문철티비에서 보던일이 나한테도 일어나다니...	0	6
법학개론	33분 전	낼 대면인가요,,,	0	0
여자화장실에서 남자나옴	33분 전	그건 바로 내 여사친임. 쌩얼일때 양상국 닮았어요	8	1
행정조직론	34분 전	10.26일 수요일날 휴강인가요?	0	0
시험 중에	35분 전	수업도 발표도 있는거 ㅈ같다	0	2
요즘 코로나검사	35분 전	돈받음??	0	2
여자화장실에서 남자나왔다는데	35분 전	왜 공론화 안되나	0	13
현생문 ㄱㅇㅈ 교수님	39분 전	필기 보여주실 분 계신가요 스타벅스 쿠폰 드릴게요 큐ㅠ	0	3
남자화장실에서 여자가 나온게 아니라	39분 전	여자화장실에서 남자가 나온거였냐	0	1
시험 재밌음?	40분 전	지금이 중간임 기말임?	0	1
경찰학개론	40분 전	내일 수업 하신댔음?	0	2
충전기 줄에 꿰어놓는거?	41분 전	동물캐릭터 입이랑 돈고로 줄 끼우는거 이름이랑 용도가 뭐야?	0	2
여기 애들 다 랜소 나가서	41분 전	성비 9:1 되는 거 보고싶다 개꿀잼일듯	0	2
아 낼모레 시험에다가 축제도있는데	44분 전	코로나걸린거같네	0	0
배그하는 사람 아무나 쓰셈	44분 전	.	0	4
나 살 빼면	45분 전	진 느낌 나는데 다이어트 해?	0	6
금요일에 밭대 축제 같이 갈 사람	45분 전	프로미스나인 보고싶은데 같이 가실 분	0	2
재정학 미친듯	45분 전	양 너무 많은 와중에 내일 시험인데 오늘 기출문제 더 주신거 미침	0	0
여자님들 진짜 이게 잘생겼어요?	46분 전	.	0	8
나도 강남클럽이나 핫플가서	48분 전	동물의왕국 맹키로 놀아보고싶다	0	3
여행	48분 전	여자친구랑 처음 가보는데 보통 비니지스 호텔도 가..? 서울 호텔 추천 해주라	0	3
에타 쪽지로	49분 전	랜소 연습할사람 ~~	0	1
여자들아	53분 전	너네는 조각같이 잘생긴 남자가 끌려 편한인상인데 잘생긴 남자가 끌려 예를 들면 뷔 vs 정해인	0	14
궁금해서 그러는데 남자중에	59분 전	게임 안하고 담배 안피고 술 잘 안마시고(못마시는게 아니라 그냥 잘 안마시는) 애니 안보고 누가봐도 예의바르고(욕 안쓰고 부모님 등 어른들께 잘	0	74
랜덤소개팅에서 친구 만나면	10/23 21:05	어떡하냐? 아니면 친구는 아닌데 그냥 서로 얼굴은 아는 사이인 사람 혹은 비즈니스 관계	0	2
눈을 떠도 눈을 감아도	10/23 21:04	앞이 보이지 않아 이게 내 미래인가	1	0
엑셀 잘하는 사람 있음?	10/23 20:59	맞는 것 같은데 원하는 대로 값이 안 나오네	0	4
나 인기 어떡하냐..	10/23 20:58	혼자 다니려 해도 자꾸 애들이 들러붙고  혼자 벤치에 앉아 있는데 여자애들이 번호따가네… 귀찮다. 나좀 내버려 두지	0	4
영어의미와 활용	10/23 20:56	들으시는 분!!!	0	3
컴입 ㅎㅇㅇ 과제 진짜 ..하..	10/23 20:55	너무하다 지금 욕하면서 푸는 중  하나도 모르겠어 어질어질	0	5
가천대랑 충남대랑 어디가 입결 더 높음?	10/23 20:53	ㅈㄱㄴ	0	12
연세옥수수크림빵 이거이거	10/23 20:48	이거 레어한거 맞지? 그치? 먹어보고 후기 남길게	0	6
Attention하면 무슨 생각남?	10/23 20:48	?	0	6
커피 뭐가 더 달아?	10/23 20:47	콘트라베이스 라떼 크래프트 카페라떼 바리스타롤스 라떼	0	0
ㅠㅠ	10/23 20:44	집에서 진격의거인 보다가 아빠한테 너무 빠지지말라는 소리 들음ㅋㅋㅋㅋㅋ	0	3
지금 시기에 수업 드랍하는 방법은 없지?	10/23 20:42	ㅎ 아 포기하고싶네?	1	4
20~30만원남자향수 추천좀	10/23 20:40	선물용	0	6
수현이 생각하는 찬혁	10/23 20:39	찬혁이 욕하지 말고 니들 앞가림이나 해라	5	6
난생 처음으로 현질해버렸다	10/23 20:39	게임에 현질은 절대 안한다는 신조였는데ㅠㅜ 현타온다 만원이나 써버림..... 고작 심심풀이 땅콩용 게임에... 아까워	0	4
축제 라인업	10/23 20:39	인스타 어떤 계정에 뜬거야?? 왜 안보이지	0	2
스파이패밀리 보면 씹덕임?	10/23 20:39	ㅈㄱㄴ	0	6
투자론 ㅈㅎㄱ 교수님	10/23 20:37	문제 몇 문제 나온댕?	0	0
치즈뷸닭볶음면	10/23 20:36	파스타  뭐먹지..	0	2
사회적 가치 ㄹㄱㅎ	10/23 20:35	시험 몇시시작이야	0	6
지금 급한데	10/23 20:34	함 할 사람? 나 잘함	1	9
방학때 알바하면 보통 얼마씩 벌어?	10/23 20:33	순수 버는거만 쓰는거 말구	0	4
전자공 회로이론2	10/23 20:31	나만 ㅈ된거 아니지?	0	5
게임하는 남자 거르는데	10/23 20:28	그러면 한 80프로 걸러지나..?	0	19
나랑	10/23 20:27	공장 들어갈 사람	0	1
소비자법과정책	10/23 20:26	양 개 많은데 10문제정도밖에 안나오는거 실화냐..	0	0
잠자는걸 정말 좋아하지만	10/23 20:26	동시에 잠 안자도 살수있었음 좋겠다..  자는 시간이 너무 아까워	1	1
피자를 시킬까말까시킬까말까	10/23 20:24	고민된다 으아아아악	0	4
엘리자벳	10/23 20:23	대전 안오는거 너무아쉽다.. 한번도 못봐서 조소 싶었는데 이번이 마지막이라는ㄷ	0	0
유셀관리 해본사람	10/23 20:23	있나요	0	0
등드름 없애는 데 도움되는 바디워시 추천 좀	10/23 20:22	운동시작하고 났는데 안 없어짐 ㅠㅠ	0	6
기초물리학2 ㅇㅈㅎ교수님	10/23 20:22	시험 언제봄?	0	0
범진오 녹화 있는 사람 ㅠㅠ 깊티...드릴게요	10/23 20:19	ㅠㅠ	0	29
같이 전공 듣는 사람중에	10/23 20:18	맨날 혼자다니는데 공부 열심히 하는것같은 사람있는데 그 사람이 내 경쟁자임 무조건 그사람보다는 잘볼거임 1등할거임	0	15
시험 잘친듯	10/23 20:16	키-타~	0	3
다메다네~ 다메나노요~	10/23 20:14	이 노래 알면 씹덕임?	0	5
밥 먹는데 마감 하는데 왜 안 나가냐는듯이	10/23 20:13	청소 시끄럽게 하는 거 너무 기분 나빴다...ㅜㅜ 다시는 거기 안 갈래...	0	1
회계의이해 01반	10/23 20:12	이번주 수업 비대면 아니지 ?? 그 중간 끝나고부터? 올대면이라고 하신 거죠 ??	0	0
나 불치병 걸린듯 ㅅㅂ...	10/23 20:12	롤토체스 골드4에서 못빠져나오는중 골5 0 50 0 50 0 50 무한 로테이션중; ... 지난시즌 플1이었는데 이번 시즌은 거의다 첨보는 챔이	0	2
에타보다가 이런걸봤네 아 ㅋㅋ	10/23 20:11	짜파게티가 어떻게 ㅋㅋ	0	4
거시경제원론	10/23 20:06	다들많이공부했음?	0	0
충남대 구인구직 게시판 있다는걸	10/23 20:05	22살 먹은 나만 이제야 안거야?	0	3
우울증 약 먹으면 기분 좋아져?	10/23 20:03	?? 어떻게 돼??	0	17
정신건강	10/23 20:02	시험범위가 정확하게 3장어디까지인가요?	0	8
에타는 언제부터 있었어?	10/23 20:02	베게 보니까 18년도부터 있긴하던데	0	6
무인택배함 주소	10/23 19:59	대전광역시 유성구 대학로 99 충남대학교 한누리회관 3층 무인택배함 이거 맞나요?	0	1
산책하려는데	10/23 19:59	갑천걸을까 아니면 다이소갈까 아니다 걍 걷다가 다이소도 들리고 천천히 돌아와야겠다	0	3
무역학원론	10/23 19:58	ㅎㅅㅈ 교수님 시험 범위 10월 17 강의일까지라고 돼있던데 자료실 보면 12장 피피티도 10월 17일이라고 돼있어서…어디까지가 정확한 범위인지	0	1
수치프 시험 공학계산기 필수인가요?	10/23 19:57	수치프로그래밍(수치해석) 중간고사 공학계산기 들고 가야하나요??	0	1
문과 무역회사	10/23 19:55	자격증이랑 영어점수 4점대학점뿐이고 경력인턴하나도없는 쌩신입인데 갈수잇나	0	3
13동 bhc 사이드 시킬사람	10/23 19:55	16000원이상주문, 배달료4천원인데 지금 요기요 4천원할인해서 그냥 각자 시킬 음식값만 내면 되! 뿌링감자, 치즈볼, 분모자떡볶이 같은 간단한	0	3
진짜 국힙	10/23 19:53	ㅈ망했구나	0	12
19누나들 20 동생 어때요	10/23 19:52	전역도했어요	0	0
다음학기 기숙사 발표 언제쯤 나오나요?	10/23 19:52	제곧내	0	0
아 ㅠ 옆집 맨날 클럽노래 틀어둠	10/23 19:49	맨날 클럽노래틀고 공부하는것 같던데.. 하 내가 찐이라 그런가 힘들다 ㅠ	0	3
원가회계	10/23 19:49	찍기 싸움이 되겠군…	0	3
전정통	10/23 19:47	트랙 추천좀 해주세요~	0	3
시험 20시간 전	10/23 19:46	공부에는 손도 안 댔음 ㅈㄴ 하기싫어 ㅅㅂ	0	5
전역하면 이성한테 플러스점수있음?	10/23 19:44	못생기면 있어봤자겠지만	0	6
내가 이제 26살인데	10/23 19:42	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	11
치킨빼고 치즈볼만 먹고싶다	10/23 19:41	ㅠㅅㅠ	0	1
약대	10/23 19:40	학부몇학번부터 생겼어?	0	5
낼 경영과 사회 ㄹㅅㅇ	10/23 19:40	대면 맞지??	0	0
원가회계 공부하신분.,	10/23 19:39	전 5장이 너무 어렵습니다..	0	4
공.부.시.러.	10/23 19:39	하.기.시.러	0	1
사회적가치와개인의자유	10/23 19:37	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	10/23 19:36	나는 포기한 사람 ㅎㅎ	0	6
잘 하는 게 없으면	10/23 19:35	일단 돈이라도 버는 게 맞지?	0	1
근데왜	10/23 19:35	올해는 월드컵을 겨울에해 춥게	0	4
쪽문에 붕어빵	10/23 19:35	오늘도 있나요?	0	7
그 핫게 교수님 냥이	10/23 19:33	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
나같은 스타일있나?	10/23 19:33	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	9
행정학개론	10/23 19:32	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
디자인과 생활	10/23 19:31	디자인과 생활 중간고사 보나요 ??????	0	0
나랑 랜소 예행연습할사람?	10/23 19:30	쪽지줘~	0	2
24년 전역	10/23 19:29	오긴 오냐	1	21
여친 ㅈㄴ질리는데 헤어질 구실좀..	10/23 19:27	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
도서관인사람	10/23 19:26	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
분리수거 막 하는 애들은	10/23 19:20	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	4
티빙 한 자리 남는 사람	10/23 19:18	딱 한 달만 하고 싶어 껴 줘..	0	3
배우 김유정	10/23 19:18	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	12
이거 다들 어떻게 생각함??	10/23 19:16	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
나처럼 생각하는 사람있냐	10/23 19:14	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	13
진지하게 와꾸 궁금하다	10/23 19:12	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	7
우리 형 밭대 17학번	10/23 19:12	나랑 수능 성적 비슷함	0	5
라인 오랜만에 깔았는데	10/23 19:10	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
언교원 영어회화 들을만 할까요	10/23 19:07	고민되네ㅠ	0	8
의치수약간 1학년으로 보내주면	10/23 19:07	가니? 타전공생들만	0	12
5동 쓰레기장 진짜 누구냐	10/23 19:06	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
복학생인데 공부해도 잘 모르겠다	10/23 19:05	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	10/23 19:05	??	0	5
법학개론 ㅇㅇㅅ교수님	10/23 19:02	내일 대면이야...?	0	2
너네 시험 전날에 교양	10/23 18:59	대충 몇시간 보고 가냐??	0	3
해치웟나??	10/23 18:58	경제학과 아니라서 잘모르겟다	0	1
공업수학2 족보	10/23 18:58	ㅊㄱㅎ 교수님꺼 급구	0	1
도서관	10/23 18:58	지금 자유열람실에 사람 많나요??	0	0
지잡대는 대학 테마파크다라는 글을 봤는데	10/23 18:56	여긴 그래도 그 정도는 아니지?ㅠㅠ	0	7
대학교 1학년 수료가 학원 강사 지원해도 ㄱㅊ?	10/23 18:52	1학년 마치고 군대갔다가 휴학 중인데 초등 국어 학원 지원 ㄱㅊ?	0	3
언어는 너무 신기해	10/23 18:52	여러가지 언어도 있고 말이 통한다는것도 신기하고 각자 언어가 다른데도 엄마 아빠라는 발음은 약간은 비슷비슷한게	0	7
무역 선배님들	10/23 18:46	이제 졸업논문이랑 글잉 대체 하는 영어성적이 합쳐진건가요!? 토익 한 번만 보면 되는건가요 ㅠㅠㅠㅠㅠㅠㅠ	0	3
왓챠	10/23 18:46	셤기간이지만 등록하자구,,,	2	3
경영 필수 교재 뭐있나요	10/23 18:40	병 자기개발비로 교재사려고 하는데	0	2
충북대 첫인상 후기	10/23 18:39	장점 : 충대보다 평지스럽고 넓고 건물과의 간격이 여유롭다 단점 : 뭔가 차들도 적고 사람도 그닥 적어서 유령도시 느낌 같다 결론 : 한밭대과의	0	8
과외 꿀알바인지 전혀 모르겠음..	10/23 18:35	시급 삼만원이어도 수업 준비시간 생각하면 걍 학원 알바랑 비슷한듯.. 그리고 감정 노동 너무 심함 ..ㅋㅋ	0	9
분실물..	10/23 18:35	도서관 지하 2층 누버 있는 곳에서 습득. 쥬인 분 찾으러 오세요ㅠ	0	3
정문 포레	10/23 18:31	사람 언제 슬슬 빠지나요??	0	4
계절학기 개설과목	10/23 18:31	언제 뜨니?..? 아는 사람...	0	1
부모님께 너무 죄송하다	10/23 18:26	고등학교 때 펑펑 놀은 아들로 태어나서..	0	4
저널리즘의 이해	10/23 18:25	ㅊㅈㅇ 교수님 듣는 사람?	0	0
교내 아우디 R8	10/23 18:24	학생꺼야? 쫌 오래전부터 학교나 장대동에서 보이던데	0	1
교수님이 사캠에 과제를 올리셨는데	10/23 18:24	기간이 안적혀있는데 어떻게하지  그냥 다음수업때까지 가져오라는 건가	0	0
남자 커트비용 아직도 적응이 안되네	10/23 18:23	13000원 받는거 진짜 적응 안되네 납득이 안가서 그런가 ㅋㅋ	0	11
투자론 최고야	10/23 18:22	투자론 오픈북으로 돌려도 못 풀겠는데..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엑셀도 다 외워야 하는거지?	0	4
바이크 타는 사람	10/23 18:20	혹시 닌자400이나 r3 등 쿼터급 타는 사람 있어? 사야되는데 고민이네	0	5
버스탈때마다 표 잘못끊는 사람 나오는듯	10/23 18:18	항상 궁금함... 왜 매번 이런일이 생기는지 20대 커플부터 6,70대 노인까지 다 한번씩 본듯	0	0
오늘 저녁은 롯데리아	10/23 18:17	햄알못인데 여러분 최애 매뉴는???????	0	10
소개팅 잡혔는데	10/23 18:14	팁 좀 주세요 상대는 서너살정도 연하에요	0	6
혹시 방에서 조용조용 사는 사람 있니?	10/23 18:12	내 윗집으로 이사와주라 ㅠㅠ	0	0
컴터 바꿨는데	10/23 18:11	돌릴만한 겜 추천좀 웬만한거 다돌아갈듯	0	7
나 skt인데 카톡 안들어가지는디	10/23 18:06	혹시 되는사람?	0	3
경영학원론 ㅈㄷㅎ	10/23 18:05	저번 수업 때 별다른 내용 있었음??  수업 못 갔는데 시험관련된거나 뭐 있나해서	0	4
학교 근처	10/23 17:59	8시 이후에 들어가도 눈치 안보고 갈 수 있는 식당 추천점여ㅜㅜ	0	0
긱사친구들중에 나랑 피자 반띵할사람	10/23 17:55	덤앤덤피자 반띵할사람!	0	2
무광 블랙 벨로스터 차주야	10/23 17:54	대학생 중에 너만 차있는거 아니니까 학교에서 가오좀 그만 잡아라 안전거리 확보 안하고 똥꼬 붙이고 교내에서 과속하면서 쫒아오던데  나도 25-3	6	10
궁동에서 자취해본 사람	10/23 17:53	3월 학기시작하기 전에 입주하려면 보통 몇월엔 방 구해야해요 ?	0	6
저메추	10/23 17:48	ㅈㄱㄴ	0	7
버스기사님들	10/23 17:48	같은번호 마주치면 인사하는거 너무 귀엽다 ㅋㅋㅋ	0	2
서피스 프로 8을 살까? 아이패드 프로 12.9를 살까?	10/23 17:45	성능은 서피스프로 i7 16GB 시그니쳐 커버 슬림팬 2 애플은 m1 애플펜슬 2세대 가격은 아이패드가 조금 더 비싸	0	1
회계원리 ㄷㅇㅅ 교수님	10/23 17:39	화요일이 시험이니까 월요일 강의는 없는 거겠지?! 혹시 수업 시간 중에 말씀하셨나요? 기억이 안 나서 이메일 보냈는데 아직 연락 없으시네요…	0	3
사랑한다	10/23 17:37	ㄱㅇㅎㄱ ㄱㅇㅇ 많이 사랑한다.	6	5
기계 대진설 이번에 동영상수업임?	10/23 17:35	저번주에 별말 없었는데 왜 사캠에 영상있냐	0	0
여친 3명인데	10/23 17:31	이제 한 명 한테 올인하려고 하는데 누구랑 손절하지	0	3
내일 아침 시험이라 알바 끝나고 바로 도서관갈건데	10/23 17:29	심야시간대도 도서관 사람 많냐??	0	7
와이파이	10/23 17:26	암 걸리네	0	1
중테기	10/23 17:24	태평천국 운동에서 재상제회라고 적혀 있는데 배상제회인데 오타난거죠?	0	1
국제결혼하면	10/23 17:21	안좋게볼까? 여자친구가 난민이야	0	9
정문 할리스	10/23 17:16	24시간인가요? 네이버에는 23시까지라고 나오는데 24시간이었던것 같아서요 ㅠㅠ	0	1
다들 머해?	10/23 17:16	?	0	2
8월에 동원훈련 갔다왔는데 학생예비군 통지왔는데	10/23 17:13	동원갔다오면 안가는거 맞지않나요???	0	0
참주제 주제문	10/23 17:12	둘이 뭔차이야?	0	0
싸캠에 올라온 장호규 교수님 아기고양이 입양글	10/23 17:12	쏘큩..	82	17
재정학 시험	10/23 17:10	다음과 같다.	2	1
도전과제 달성	10/23 17:08	72시간 동안 뻘짓하기 ^^	0	1
너희는 본가에서	10/23 17:07	청소 어느정도 해??	0	4
남잔데	10/23 17:06	외모콤플렉스 심해서 마스크벗기싫어..ㅠ	0	4
긱식	10/23 17:05	오늘 기숙사 식당 메뉴 아는사람?	0	1
아이패드 중고 팔아본 사람 있음?	10/23 17:00	태블릿 직거래 귀찮고 스트레스 받을 거 같아서 매입해주는 노란마켓 바로 이런 데 싸게 팔까 하는데 팔아본 사람 있나	0	7
건전 마사지샵 카운터 알바	10/23 16:55	ㄱㅊ? 부모님한테 뭐라 들을 가능성 없겠지? 친구는 좀 놀릴 것 같고	0	11
원가회계 질문	10/23 16:55	여기서 단위당 변동원가를 어떻게 구하나요?	0	6
경영 시험기간에 확진 되어본 분	10/23 16:52	시험 어떻게 해주셨어요..? ㅜㅠ	0	0
경영과학 시험 봤던 사람	10/23 16:51	수업시간에 한 문제만 나와?? 아님 수업 때 안한 책에 있는 문제들로 시험 나와??	0	2
원가회계 질문	10/23 16:49	밑줄 친부분이 이해가 안가서요..분자는 매출원가여야 하지 않나요?	0	9
이찬혁	10/23 16:41	그만해 제발	15	24
얘네 뭐하냐ㅋㅋㅋ	10/23 16:41	서로 남자다 여자다 싸우는데 웃기네 쓰잘데기 없는거로 싸울 시간에 그냥 공부나해라	0	11
얼굴 그려드려용!	10/23 16:37	미술 전공 아니고 그림 잘 그리지 않아ㅋㅋㅋㅜ 요즘 인물화 연습해보고 있는데 실제 사람 보면서 연습해보면 재밌을 듯!!	0	7
외환시장 ㄱㄷㅅ 교수님	10/23 16:33	용어list에서 outright quotation이 indirect quotation 맞음 ? points quotation은 direct qu	0	2
:)	10/23 16:31	ㅎ	4	3
100만원으로 옷사야하는데	10/23 16:27	뭐사야될까	0	5
이찬혁 무대에서	10/23 16:25	머리 깎네…	0	0
